company_number,company_name,status,company_type,incorporated,sic_codes,accounts_overdue,cs_overdue,accounts_type,has_group_accounts,has_full_accounts,large_company_flag,last_accounts_date,accounts_description,filing_error
15713509,LTD AUTO BAR LTD,active,,2024-05-10,45200,True,False,,False,False,False,,,No accounts found
16240316,LTD FIRE AND SECURITY LTD,active,,2025-02-10,43210,False,True,,False,False,False,,,No accounts found
16065205,LTD LABOUR SUPPLY SERVICES LIMITED,active,,2024-11-06,42990,False,True,,False,False,False,,,No accounts found
16338330,LTD PROPERTY UK LIMITED,active,,2025-03-24,68310,False,True,,False,False,False,,,No accounts found
14471672,LTD RAMONA VAMVU LTD,active,,2022-11-09,84120,True,True,,False,False,False,2024-11-09,accounts-with-accounts-type-micro-entity,
16169955,LTD REMOVING LTD,active,,2025-01-08,"41202,47110,49320,49420",False,True,,False,False,False,,,No accounts found
09030326,LTD SALES LTD,active,,2014-05-08,96090,True,True,,False,False,False,2021-12-09,accounts-with-accounts-type-total-exemption-full,
15860386,LTDS SCHOOL OF MOTORING LIMITED,active,,2024-07-26,85530,True,False,,False,False,False,,,No accounts found
SC635706,LTDC FINANCE LTD,active,,2019-07-10,64306,True,True,,False,False,False,,,No accounts found
06103574,AADMZH LTD.,active,,2007-02-14,82990,True,True,,False,False,False,2024-05-30,accounts-with-accounts-type-micro-entity,
05098561,AAK CARPENTRY & JOINERY LTD.,active,,2004-04-08,43320,False,True,,False,False,False,2026-01-14,accounts-with-accounts-type-total-exemption-full,
10576258,AA MEDIA STUDIOS LTD.,active,,2017-01-23,62090,True,True,,False,False,False,2019-11-01,accounts-with-accounts-type-micro-entity,
09232164,A&B ZEPHYR LTD.,active,,2014-09-23,70210,True,True,,False,False,False,2021-07-09,accounts-with-accounts-type-micro-entity,
11577416,A&C BUILDING LTD.,active,,2018-09-19,41202,True,True,,False,False,False,2022-08-12,accounts-with-accounts-type-micro-entity,
SC552900,A & C SCOTIA INVESTMENTS LTD.,active,,2016-12-19,96090,True,False,,False,False,False,2024-08-27,accounts-with-accounts-type-dormant,
10603047,A&E PRODUCTIONS LTD.,active,,2017-02-06,"59111,59112,59140,59200",False,True,,False,False,False,2025-11-29,accounts-with-accounts-type-dormant,
10266427,A & G AUTOS (2016) LTD.,active,,2016-07-07,45200,True,True,,False,False,False,2020-12-21,accounts-with-accounts-type-unaudited-abridged,
08897833,A&G PRIVATE LTD.,active,,2014-02-17,56102,True,True,,False,False,False,2025-02-21,accounts-with-accounts-type-dormant,
10986746,A & I CATERING EQUIPMENTS LTD.,active,,2017-09-28,46190,True,True,,False,False,False,2023-06-27,accounts-with-accounts-type-dormant,
14820505,A&M SKILLS LTD LTD,active,,2023-04-22,41202,True,False,,False,False,False,2025-02-17,accounts-with-accounts-type-total-exemption-full,
SC337392,A & R RENWICK LTD.,active,,2008-02-07,99999,False,True,,False,False,False,2025-11-26,accounts-with-accounts-type-dormant,
07512150,A & S ARMITAGE LTD.,active,,2011-02-01,86102,True,True,,False,False,False,2023-09-26,accounts-with-accounts-type-micro-entity,
12543754,A & S AUTOMOTIVE LTD.,active,,2020-04-02,45200,True,True,,False,False,False,,,No accounts found
11513825,AARDVARK UAV (UK) LTD.,active,,2018-08-13,"59112,74202,74209",False,True,,False,False,False,2025-09-08,accounts-with-accounts-type-dormant,
09750486,AARON CONTRACT ELECTRICAL LTD.,active,,2015-08-26,43210,True,True,,False,False,False,2022-05-31,accounts-with-accounts-type-micro-entity,
07878501,AASHNI & CO LTD.,active,,2011-12-12,"41100,47789,59111,59113",True,False,,False,False,False,2026-03-30,change-account-reference-date-company-previous-extended,
14682345,THE AA'TAR SPOT LONDON LTD.,active,,2023-02-22,46450,False,True,,False,False,False,2025-12-01,accounts-with-accounts-type-micro-entity,
10495848,AAYAN'S RETAIL LTD.,active,,2016-11-24,"10710,47990",True,False,,False,False,False,2025-09-03,accounts-with-accounts-type-total-exemption-full,
16238815,AB ABODE DEVELOPMENTS LTD LTD,active,,2025-02-09,41100,False,True,,False,False,False,,,No accounts found
07182563,A BANERJEE LTD.,active,,2010-03-09,86210,False,True,,False,False,False,2025-11-28,accounts-with-accounts-type-micro-entity,
11294036,A.BARIK LTD.,active,,2018-04-05,62020,True,True,,False,False,False,2021-04-30,accounts-with-accounts-type-dormant,
08834925,ABBYMAJUTA LTD LIMITED,active,,2014-01-07,"86101,86102",True,True,,False,False,False,2025-01-29,accounts-with-accounts-type-micro-entity,
09966260,AB DESIGN LONDON LTD.,active,,2016-01-22,82990,False,True,,False,False,False,2025-08-15,accounts-with-accounts-type-total-exemption-full,
SC054571,ABERCAIRN OF SCOTLAND LTD.,active,,1973-11-20,68209,False,True,,False,False,False,2026-03-31,accounts-with-accounts-type-total-exemption-full,
SC676918,ABERDEEN DIVING SERVICES LTD.,active,,2020-10-07,33190,True,True,,False,False,False,2024-07-31,accounts-with-accounts-type-micro-entity,
SC229548,ABERDEEN DRILLING AND PRODUCTION TOOLS LTD.,active,,2002-03-22,99999,False,True,,False,False,False,2025-12-25,accounts-with-accounts-type-micro-entity,
09111177,ABI INVESTMENT LTD.,active,,2014-07-01,68209,True,True,,False,False,False,2021-07-16,accounts-with-accounts-type-micro-entity,
08795804,ABILITY SUPPORT CARE LTD.,active,,2013-11-29,86210,False,True,,False,False,False,2025-11-28,accounts-with-accounts-type-micro-entity,
02913783,ABLEY LTD.,active,,1994-03-29,71111,False,True,,False,False,False,2025-12-04,accounts-with-accounts-type-total-exemption-full,
10410235,ABOUT THAT MULAR LTD.,active,,2016-10-04,"46420,59200",True,True,,False,False,False,2024-12-30,accounts-with-accounts-type-micro-entity,
16212802,ABRACADABRAND LTD.,active,,2025-01-28,47710,False,True,,False,False,False,,,No accounts found
11719017,ABSHA PROJECT LTD.,active,,2018-12-10,"49100,87900",True,True,,False,False,False,2021-03-01,accounts-with-accounts-type-micro-entity,
